Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","044","Bahamas","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","331.506","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","404.557","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","193.737","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","210.821","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","67.996","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","335.099","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","1487.34","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","931.994","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","555.346","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","167.867","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","1399.126","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","1494.188","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","933.409","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","560.779","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","173.716","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","1464.18","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","163683.958","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","81314.565","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","82369.393","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","105423.904","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","60944.245","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","165516.222","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","82164.179","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","83352.043","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","105200.1","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","62865.82","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","279.688","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","133.936","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","145.752","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","197.187","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","89.201","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","280.18","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","134.222","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","145.957","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","197.584","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","89.426","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","9695.574","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","4480.329","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","5215.244","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","2023.242","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","7428.871","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","9673.971","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","4467.692","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","5206.279","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","1976.92","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","7456.954","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","11448.595","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","5643.009","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","5805.587","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","229.844","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","11268.675","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","11510.568","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","5677.883","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","5832.685","X","Figure from international organizations",""
